,Session Id,Clicked
0,41cb91c7-ec1d-4e71-98fd-9e1c374bd33b,0.1586323
1,c9d3f8e4-1445-45f2-99db-754bda50766c,0.12986127
2,f85ffa39-b799-49a1-82b5-2f76a4009212,0.1199346
3,49336ffb-a9b7-485c-9891-6274482484e0,0.20035501
4,8ea9c920-6686-46f2-acd1-4bf20371c28c,0.32886526
5,76b96907-8ff5-4442-bff6-2b468f49df4b,0.088225715
6,9541e470-d6f7-47e1-aada-3f20456f786d,0.084291175
7,34d7e3c8-c056-4a4a-bb8f-d3620468a107,0.04042552
8,a48f4c4a-ddc8-4b4e-a9f8-1c42466f0ee2,0.19098362
9,0681bc95-8af4-497e-8c96-57a674f81d82,0.12826891
10,a71b6ae3-0da9-4d44-a391-04d4c523a9b2,0.19163494
11,a0b28072-3dcf-481b-b0ae-c996facf91c3,0.17733335
12,f7465fcf-f10e-45b7-ab4f-8964ea538665,0.12272617
13,6fe88a3b-56d8-46de-a00b-27030f3bb84a,0.119653426
14,f294cb27-d372-483f-a901-668eed6cb795,0.27292436
15,392ed143-93d5-4d5f-b31a-1e23df032c0e,0.17468114
16,253500b3-224e-46da-a311-241bcffa3a06,0.15274723
17,06446816-a0b0-407f-94b0-80284741a454,0.11525378
18,af6b997b-f01a-4f56-a279-9f39da1910ce,0.05769296
19,bf84c501-1d74-41d7-ad8d-cf543b60781f,0.063957624
20,5a158ac6-56ff-4900-bc86-6b4c3805bad7,0.18620302
21,0eb020f2-b763-425d-9f47-d7278d8a9810,0.22530912
22,20b9e916-6f78-432e-a633-0715b9e9cbf9,0.13912587
23,cb299041-1eaf-42b2-89e0-a6f968d93130,0.08256052
24,6957984c-774a-42fc-a763-ea12cdb927e9,0.12489486
25,04f4cc7e-68e0-4e52-b3fe-2fa0b84aba24,0.12721597
26,ad9e0de9-96fd-43ca-8878-bfcc79994c6b,0.04952012
27,d2dfe360-79c3-4ebe-95c3-b199d3bc4cd2,0.056116533
28,b7371d72-c55b-47c0-88ac-4320441f6f01,0.13353966
29,f7f6d364-a3c3-496d-9387-b7b718901d37,0.116791315
30,7ae15df3-c0b1-4fd9-94af-b0f0dc094eb3,0.11883454
31,37e3d49d-937b-40f1-9c11-ba813ba77727,0.0671983
